Age,Height_cm,Weight_kg,BMI,Sport_Type,Level,Goal,Training_Days_Per_Week,Years_Training,Has_Injury_History,Endurance_Score,Strength_Score,Speed_Score,Flexibility_Score,Explosiveness_Score,Recovery_Score,Recommended_Program_ID
32,179,95,29.6,MMA,Beginner,Endurance,4,0.1,0,3,6,5,6,3,6,PRG_MMA_BEGINNER_BASE
31,176,77,24.9,General Fitness,Intermediate,Muscle_Gain,4,2.1,0,6,6,5,7,9,8,PRG_FIT_HYPERTROPHY_INTERMEDIATE
16,182,74,22.3,Swimming,Intermediate,Speed,5,3.2,0,7,3,2,7,7,8,PRG_SW_DRY_LAND_STRENGTH
15,196,78,20.3,Basketball,Intermediate,Weight_Loss,5,4.9,1,6,4,10,6,6,7,PRG_BB_ANKLE_KNEE_PREHAB
20,173,62,20.7,Football,Advanced,Agility,6,7.4,0,9,10,10,5,3,6,PRG_FB_STRENGTH_STAMINA
31,177,73,23.3,General Fitness,Advanced,Weight_Loss,6,5.4,0,8,5,7,7,6,6,PRG_FIT_FAT_LOSS_HIIT
15,187,99,28.3,Football,Intermediate,Speed,4,5.6,0,6,9,8,5,5,7,PRG_FB_SPRINT_MECHANICS
24,167,78,28.0,MMA,Beginner,Endurance,3,0.6,0,3,3,2,5,3,10,PRG_MMA_BEGINNER_BASE
22,180,75,23.1,Tennis,Beginner,Strength,2,0.8,1,5,7,5,4,7,9,PRG_TN_MOVEMENT_FOUNDATIONS
17,180,60,18.5,Tennis,Advanced,Agility,4,7.7,0,7,8,10,10,6,8,PRG_TN_FOOTWORK_ELITE
27,168,66,23.4,Swimming,Advanced,Agility,4,7.2,1,10,8,8,10,10,7,PRG_SW_RACE_CONDITIONING
34,178,65,20.5,General Fitness,Advanced,Muscle_Gain,5,7.1,0,9,6,7,10,6,8,PRG_FIT_HYPERTROPHY_INTERMEDIATE
20,178,60,18.9,Track & Field,Beginner,Speed,3,0.1,0,6,6,7,6,7,9,PRG_TF_RUNNING_MECHANICS
29,173,75,25.1,Boxing,Advanced,Speed,5,6.7,0,10,7,7,8,6,7,PRG_BOX_ELITE_CONDITIONING
22,179,92,28.7,Basketball,Intermediate,Agility,3,5.1,0,7,6,10,7,6,7,PRG_BB_CHANGE_OF_DIRECTION
15,181,74,22.6,MMA,Beginner,Strength,2,2.5,0,4,7,7,4,4,8,PRG_MMA_BEGINNER_BASE
27,170,78,27.0,Tennis,Beginner,Speed,3,0.5,1,4,3,6,5,5,8,PRG_TN_MOVEMENT_FOUNDATIONS
30,189,81,22.7,Tennis,Intermediate,Endurance,3,3.6,1,7,5,6,6,5,6,PRG_TN_SHOULDER_ELBOW_PREHAB
37,161,69,26.6,MMA,Intermediate,Speed,3,3.3,1,3,6,6,6,7,6,PRG_MMA_INJURY_PREVENTION
19,190,71,19.7,Tennis,Beginner,Strength,2,1.1,0,9,3,4,6,6,10,PRG_TN_MOVEMENT_FOUNDATIONS
25,176,71,22.9,Swimming,Advanced,Speed,5,6.4,1,9,7,7,9,7,7,PRG_SW_SPRINT_POWER
24,169,62,21.7,Track & Field,Advanced,Speed,4,7.6,0,9,7,10,5,8,7,PRG_TF_SPRINT_ELITE
20,174,60,19.8,Track & Field,Intermediate,Speed,4,3.1,1,9,5,9,7,6,7,PRG_TF_SPRINT_ELITE
36,182,68,20.5,Tennis,Intermediate,Strength,5,3.4,0,4,2,7,6,4,7,PRG_TN_CORE_STABILITY
23,163,71,26.7,MMA,Intermediate,Muscle_Gain,4,4.9,0,5,7,7,4,10,6,PRG_MMA_SPEED_AGILITY
24,177,73,23.3,Boxing,Advanced,Muscle_Gain,5,7.7,0,10,8,7,7,8,6,PRG_BOX_KNOCKOUT_POWER
19,184,77,22.7,Basketball,Intermediate,Muscle_Gain,5,1.8,0,9,8,6,6,6,8,PRG_BB_COMPLETE_ATHLETE
30,172,60,20.3,Boxing,Advanced,Agility,5,5.6,0,8,8,8,4,7,6,PRG_BOX_KNOCKOUT_POWER
17,178,58,18.3,Boxing,Intermediate,Muscle_Gain,4,3.6,0,6,6,8,8,9,8,PRG_BOX_KNOCKOUT_POWER
28,180,67,20.7,General Fitness,Intermediate,Muscle_Gain,4,4.6,0,6,9,5,6,4,7,PRG_FIT_HYPERTROPHY_INTERMEDIATE
24,169,51,17.9,Track & Field,Intermediate,Endurance,4,1.9,0,7,5,8,6,8,8,PRG_TF_DISTANCE_ELITE
26,198,84,21.4,Basketball,Intermediate,Speed,5,2.9,0,6,7,8,3,8,8,PRG_BB_CHANGE_OF_DIRECTION
19,184,74,21.9,Track & Field,Beginner,Muscle_Gain,4,1.1,0,2,3,6,7,3,9,PRG_TF_RUNNING_MECHANICS
26,174,68,22.5,Track & Field,Beginner,Speed,3,0.1,0,3,4,3,5,5,9,PRG_TF_RUNNING_MECHANICS
16,182,66,19.9,Basketball,Intermediate,Strength,5,5.3,0,7,6,9,5,6,6,PRG_BB_CHANGE_OF_DIRECTION
23,168,70,24.8,Swimming,Advanced,Endurance,6,7.4,0,10,7,10,7,8,6,PRG_SW_DISTANCE_ELITE
22,179,79,24.7,MMA,Beginner,Muscle_Gain,2,0.7,1,5,5,5,4,5,9,PRG_MMA_BEGINNER_BASE
25,181,65,19.8,Tennis,Intermediate,Agility,5,3.2,0,7,6,4,5,8,8,PRG_TN_COURT_MOVEMENT
29,166,71,25.8,MMA,Advanced,Strength,4,5.4,0,9,5,9,10,9,5,PRG_MMA_SPEED_AGILITY
35,186,86,24.9,Tennis,Beginner,Speed,2,3.5,0,1,8,3,2,6,10,PRG_TN_MOVEMENT_FOUNDATIONS
30,176,68,22.0,Track & Field,Intermediate,Muscle_Gain,5,3.2,0,9,6,8,4,6,5,PRG_TF_GENERAL_TRACK_CONDITIONING
24,174,64,21.1,Tennis,Intermediate,Endurance,5,2.8,0,9,7,6,4,6,7,PRG_TN_COMPETITION_READINESS
19,180,68,21.0,Track & Field,Advanced,Endurance,4,6.0,0,9,5,10,10,9,8,PRG_TF_DISTANCE_ELITE
39,169,60,21.0,General Fitness,Beginner,Muscle_Gain,2,1.9,0,3,5,3,8,2,8,PRG_FIT_HYPERTROPHY_INTERMEDIATE
31,178,66,20.8,Football,Advanced,Endurance,4,6.2,0,6,8,9,6,8,9,PRG_FB_EXPLOSIVE_ATHLETE
30,181,85,25.9,MMA,Intermediate,Endurance,4,2.9,0,4,5,5,6,5,7,PRG_MMA_AEROBIC_BASE
15,190,76,21.1,Swimming,Beginner,Weight_Loss,3,0.5,0,4,2,3,5,5,9,PRG_SW_TECHNIQUE_AND_BASE
17,169,79,27.7,MMA,Advanced,Strength,5,5.3,1,6,10,9,8,6,7,PRG_MMA_INJURY_PREVENTION
16,176,75,24.2,Swimming,Advanced,Strength,5,8.0,0,9,5,8,8,6,6,PRG_SW_RACE_CONDITIONING
18,163,60,22.6,Boxing,Intermediate,Speed,6,2.1,0,7,6,6,6,6,8,PRG_BOX_GENERAL_COMBAT_FITNESS
24,177,79,25.2,General Fitness,Intermediate,Muscle_Gain,4,3.0,0,5,6,7,2,5,6,PRG_FIT_HYPERTROPHY_INTERMEDIATE
32,166,75,27.2,General Fitness,Intermediate,Weight_Loss,3,3.1,0,6,6,5,6,6,5,PRG_FIT_FAT_LOSS_HIIT
26,167,72,25.8,MMA,Beginner,Strength,1,0.1,1,5,6,7,4,2,8,PRG_MMA_BEGINNER_BASE
26,170,65,22.5,Track & Field,Intermediate,Endurance,3,4.6,0,6,5,8,7,6,7,PRG_TF_AEROBIC_BASE
20,190,70,19.4,Basketball,Intermediate,Muscle_Gain,3,4.0,0,9,3,9,6,8,8,PRG_BB_CHANGE_OF_DIRECTION
21,172,77,26.0,Boxing,Intermediate,Endurance,4,2.4,1,6,9,4,3,8,7,PRG_BOX_REHAB_CONDITIONING
21,178,64,20.2,Swimming,Beginner,Muscle_Gain,2,0.7,0,6,1,5,3,4,8,PRG_SW_TECHNIQUE_AND_BASE
24,190,71,19.7,Swimming,Beginner,Agility,2,0.9,1,5,6,3,3,6,9,PRG_SW_TECHNIQUE_AND_BASE
26,187,60,17.2,Basketball,Intermediate,Muscle_Gain,4,4.6,0,7,5,7,5,7,7,PRG_BB_CHANGE_OF_DIRECTION
24,193,82,22.0,Basketball,Beginner,Agility,4,1.4,0,4,3,4,1,8,6,PRG_BB_ATHLETIC_BASE
26,178,76,24.0,Tennis,Beginner,Strength,2,1.7,0,4,2,6,3,5,8,PRG_TN_MOVEMENT_FOUNDATIONS
22,179,70,21.8,Tennis,Advanced,Strength,6,7.7,1,9,8,10,10,5,7,PRG_TN_SHOULDER_ELBOW_PREHAB
22,180,77,23.8,Football,Beginner,Agility,3,1.0,0,2,5,6,4,5,7,PRG_FB_ATHLETIC_DEVELOPMENT
25,182,60,18.1,Swimming,Advanced,Weight_Loss,6,6.3,0,9,8,8,9,6,6,PRG_SW_RACE_CONDITIONING
16,184,64,18.9,Track & Field,Intermediate,Agility,3,2.7,1,9,5,7,7,6,10,PRG_TF_GENERAL_TRACK_CONDITIONING
20,191,84,23.0,Swimming,Intermediate,Endurance,5,4.6,0,8,7,8,6,7,8,PRG_SW_DISTANCE_ELITE
22,168,70,24.8,General Fitness,Intermediate,Strength,5,2.8,0,5,4,7,6,4,6,PRG_FIT_POWERLIFTING
21,181,62,18.9,Track & Field,Intermediate,Endurance,6,5.4,1,8,3,8,6,6,5,PRG_TF_DISTANCE_ELITE
16,186,53,15.3,Football,Intermediate,Speed,4,4.6,1,8,7,7,4,6,9,PRG_FB_INJURY_PREVENTION
23,167,60,21.5,Boxing,Advanced,Endurance,5,6.7,1,8,10,7,7,8,6,PRG_BOX_REHAB_CONDITIONING
23,175,66,21.6,Boxing,Intermediate,Strength,5,4.9,0,6,7,6,6,5,6,PRG_BOX_GENERAL_COMBAT_FITNESS
17,188,68,19.2,Football,Advanced,Strength,4,6.0,0,5,9,9,7,9,7,PRG_FB_EXPLOSIVE_ATHLETE
26,166,64,23.2,Boxing,Intermediate,Speed,4,2.2,1,7,8,6,7,5,7,PRG_BOX_REHAB_CONDITIONING
18,185,80,23.4,Football,Beginner,Agility,2,0.2,0,2,5,5,5,6,8,PRG_FB_ATHLETIC_DEVELOPMENT
21,167,75,26.9,MMA,Intermediate,Strength,3,5.0,0,5,5,6,4,6,9,PRG_MMA_GENERAL_CONDITIONING
16,187,66,18.9,Swimming,Intermediate,Strength,4,4.5,0,7,7,6,6,5,8,PRG_SW_RACE_CONDITIONING
23,185,76,22.2,Basketball,Advanced,Speed,5,5.9,0,10,6,9,6,8,7,PRG_BB_VERTICAL_PLYOMETRICS
16,183,90,26.9,Football,Beginner,Strength,4,1.2,0,4,7,5,1,5,9,PRG_FB_ATHLETIC_DEVELOPMENT
23,176,91,29.4,MMA,Beginner,Strength,3,1.3,0,3,6,5,4,6,8,PRG_MMA_BEGINNER_BASE
24,172,77,26.0,General Fitness,Beginner,Endurance,3,0.2,0,4,8,2,3,5,8,PRG_FIT_CARDIO_ENDURANCE
23,189,89,24.9,Basketball,Beginner,Muscle_Gain,2,0.1,0,4,6,5,4,5,8,PRG_BB_ATHLETIC_BASE
24,184,68,20.1,Tennis,Beginner,Weight_Loss,3,1.2,0,6,3,6,4,5,7,PRG_TN_MOVEMENT_FOUNDATIONS
15,184,73,21.6,Swimming,Beginner,Speed,2,0.1,0,6,2,3,7,5,8,PRG_SW_TECHNIQUE_AND_BASE
15,188,88,24.9,Football,Advanced,Speed,4,7.3,1,8,10,9,8,5,9,PRG_FB_INJURY_PREVENTION
17,186,80,23.1,Basketball,Advanced,Agility,5,8.7,0,8,6,8,6,6,8,PRG_BB_CHANGE_OF_DIRECTION
29,172,73,24.7,General Fitness,Intermediate,Weight_Loss,4,0.9,1,5,2,6,3,4,6,PRG_FIT_FAT_LOSS_HIIT
21,178,72,22.7,Swimming,Intermediate,Weight_Loss,3,1.8,0,8,7,6,8,5,9,PRG_SW_RACE_CONDITIONING
22,174,78,25.8,Track & Field,Advanced,Endurance,4,5.2,0,10,8,8,9,8,8,PRG_TF_DISTANCE_ELITE
24,183,60,17.9,Swimming,Advanced,Speed,6,7.2,0,9,4,7,8,10,8,PRG_SW_SPRINT_POWER
27,186,90,26.0,Football,Intermediate,Speed,4,4.3,1,6,6,4,4,10,7,PRG_FB_INJURY_PREVENTION
23,183,80,23.9,MMA,Advanced,Endurance,5,6.8,0,7,8,6,8,9,6,PRG_MMA_PEAK_PERFORMANCE
16,186,85,24.6,Football,Advanced,Strength,6,4.9,0,8,10,7,6,7,7,PRG_FB_EXPLOSIVE_ATHLETE
28,159,79,31.2,General Fitness,Intermediate,Strength,4,4.0,1,8,8,6,8,9,7,PRG_FIT_FAT_LOSS_HIIT
22,177,61,19.5,Swimming,Intermediate,Muscle_Gain,3,3.1,0,8,6,7,8,4,6,PRG_SW_RACE_CONDITIONING
29,166,79,28.7,General Fitness,Intermediate,Strength,4,4.3,0,5,4,7,9,6,8,PRG_FIT_POWERLIFTING
19,193,70,18.8,Basketball,Beginner,Endurance,4,0.1,0,7,7,3,5,4,8,PRG_BB_ATHLETIC_BASE
32,169,81,28.4,Boxing,Intermediate,Endurance,2,2.7,0,7,6,7,6,6,6,PRG_BOX_GENERAL_COMBAT_FITNESS
21,187,88,25.2,Basketball,Beginner,Strength,3,0.1,0,7,4,6,6,6,8,PRG_BB_ATHLETIC_BASE
21,178,63,19.9,General Fitness,Beginner,Strength,2,3.5,0,5,6,3,7,4,10,PRG_FIT_POWERLIFTING
15,179,69,21.5,Track & Field,Beginner,Strength,3,1.6,0,6,3,6,3,4,8,PRG_TF_RUNNING_MECHANICS
26,177,110,35.1,Football,Intermediate,Muscle_Gain,4,2.9,0,6,8,9,6,6,6,PRG_FB_LINEMAN_POWER
23,177,70,22.3,General Fitness,Beginner,Speed,1,0.6,0,1,6,3,5,4,10,PRG_FIT_BALANCED_WELLNESS
26,182,82,24.8,Tennis,Intermediate,Endurance,6,1.6,0,6,4,7,7,7,5,PRG_TN_CORE_STABILITY
24,175,69,22.5,MMA,Beginner,Strength,2,2.1,1,4,5,6,3,4,8,PRG_MMA_BEGINNER_BASE
29,178,70,22.1,Boxing,Beginner,Speed,3,0.7,0,6,3,5,4,4,7,PRG_BOX_FOUNDATIONS
22,180,71,21.9,Swimming,Advanced,Agility,4,8.3,1,9,7,9,9,3,8,PRG_SW_RACE_CONDITIONING
28,176,70,22.6,Track & Field,Beginner,Speed,1,2.7,0,5,5,8,5,6,8,PRG_TF_RUNNING_MECHANICS
26,180,64,19.8,General Fitness,Intermediate,Weight_Loss,3,5.5,0,5,7,5,5,6,7,PRG_FIT_FAT_LOSS_HIIT
17,193,89,23.9,Basketball,Beginner,Agility,3,1.6,0,4,6,4,2,4,8,PRG_BB_ATHLETIC_BASE
20,193,79,21.2,Basketball,Beginner,Endurance,3,0.1,0,6,2,6,5,1,7,PRG_BB_ATHLETIC_BASE
23,188,83,23.5,Basketball,Advanced,Speed,7,7.2,0,7,7,6,9,10,8,PRG_BB_VERTICAL_PLYOMETRICS
25,171,65,22.2,Boxing,Beginner,Muscle_Gain,4,1.5,0,6,6,7,3,3,6,PRG_BOX_FOUNDATIONS
23,192,99,26.9,Basketball,Beginner,Endurance,2,1.3,0,5,4,4,6,4,9,PRG_BB_ATHLETIC_BASE
24,176,78,25.2,Tennis,Beginner,Weight_Loss,4,0.1,0,5,2,6,5,5,8,PRG_TN_MOVEMENT_FOUNDATIONS
18,176,103,33.3,Football,Intermediate,Endurance,5,4.8,0,5,7,5,6,8,8,PRG_FB_LINEMAN_POWER
23,195,69,18.1,Basketball,Intermediate,Muscle_Gain,5,3.0,0,6,5,10,5,6,6,PRG_BB_CHANGE_OF_DIRECTION
29,156,82,33.7,General Fitness,Advanced,Weight_Loss,7,6.1,1,7,4,6,9,4,7,PRG_FIT_FAT_LOSS_HIIT
22,173,55,18.4,Boxing,Beginner,Speed,3,0.6,0,3,7,6,8,3,9,PRG_BOX_FOUNDATIONS
27,183,77,23.0,Basketball,Intermediate,Weight_Loss,4,2.5,0,5,3,9,7,6,6,PRG_BB_CHANGE_OF_DIRECTION
21,175,102,33.3,Football,Advanced,Speed,6,8.4,1,4,9,8,6,9,6,PRG_FB_INJURY_PREVENTION
23,167,63,22.6,Boxing,Intermediate,Speed,5,4.7,1,6,8,5,4,9,8,PRG_BOX_REHAB_CONDITIONING
33,183,79,23.6,Tennis,Beginner,Speed,2,0.1,0,7,2,4,5,7,8,PRG_TN_MOVEMENT_FOUNDATIONS
15,180,88,27.2,Football,Beginner,Muscle_Gain,4,1.4,0,4,7,6,2,6,8,PRG_FB_ATHLETIC_DEVELOPMENT
28,185,71,20.7,MMA,Intermediate,Speed,4,4.1,0,7,6,5,4,7,8,PRG_MMA_PEAK_PERFORMANCE
28,190,61,16.9,Basketball,Intermediate,Weight_Loss,2,0.6,0,7,5,7,6,8,8,PRG_BB_CHANGE_OF_DIRECTION
42,180,88,27.2,Tennis,Intermediate,Agility,4,3.8,0,5,5,5,5,7,7,PRG_TN_COURT_MOVEMENT
22,171,68,23.3,Swimming,Beginner,Endurance,3,0.3,1,5,4,3,5,6,8,PRG_SW_TECHNIQUE_AND_BASE
37,163,69,26.0,General Fitness,Intermediate,Muscle_Gain,3,5.0,1,6,6,8,8,5,6,PRG_FIT_HYPERTROPHY_INTERMEDIATE
24,182,69,20.8,Tennis,Intermediate,Endurance,4,1.9,0,7,4,7,7,10,8,PRG_TN_CORE_STABILITY
40,176,77,24.9,General Fitness,Intermediate,Muscle_Gain,4,3.7,1,8,8,8,7,3,8,PRG_FIT_HYPERTROPHY_INTERMEDIATE
21,184,71,21.0,Basketball,Beginner,Weight_Loss,3,1.5,0,7,2,8,4,6,9,PRG_BB_ATHLETIC_BASE
41,172,75,25.4,General Fitness,Intermediate,Muscle_Gain,4,3.1,0,5,3,9,8,4,7,PRG_FIT_HYPERTROPHY_BEGINNER
26,191,87,23.8,Basketball,Beginner,Muscle_Gain,2,0.5,0,6,7,8,2,3,8,PRG_BB_ATHLETIC_BASE
25,193,68,18.3,Basketball,Advanced,Strength,6,7.8,0,8,6,9,8,5,7,PRG_BB_CHANGE_OF_DIRECTION
20,193,95,25.5,Basketball,Advanced,Muscle_Gain,6,7.0,0,10,6,10,9,8,6,PRG_BB_VERTICAL_PLYOMETRICS
27,175,72,23.5,Tennis,Intermediate,Endurance,4,5.2,0,6,5,8,7,7,8,PRG_TN_POWER_GENERATION
29,187,64,18.3,Football,Advanced,Agility,4,6.4,0,8,7,10,5,8,8,PRG_FB_EXPLOSIVE_ATHLETE
23,180,60,18.5,Tennis,Intermediate,Speed,4,4.5,0,6,8,5,7,5,8,PRG_TN_COMPETITION_READINESS
15,183,67,20.0,Tennis,Intermediate,Strength,4,5.3,0,7,4,4,7,7,8,PRG_TN_CORE_STABILITY
18,184,116,34.3,Football,Beginner,Muscle_Gain,1,0.1,0,6,8,3,1,8,9,PRG_FB_ATHLETIC_DEVELOPMENT
18,188,57,16.1,Track & Field,Advanced,Agility,6,6.9,0,10,7,10,8,8,8,PRG_TF_GENERAL_TRACK_CONDITIONING
25,170,64,22.1,Track & Field,Intermediate,Endurance,6,4.7,0,9,6,8,7,4,6,PRG_TF_DISTANCE_ELITE
30,170,68,23.5,Boxing,Intermediate,Weight_Loss,2,3.5,0,6,5,5,5,5,8,PRG_BOX_GENERAL_COMBAT_FITNESS
18,176,60,19.4,Track & Field,Beginner,Speed,3,0.2,0,3,5,5,3,4,8,PRG_TF_RUNNING_MECHANICS
22,183,70,20.9,Tennis,Beginner,Endurance,2,2.1,0,4,3,5,2,7,10,PRG_TN_MOVEMENT_FOUNDATIONS
41,180,64,19.8,Tennis,Advanced,Muscle_Gain,6,8.8,0,8,7,9,8,8,7,PRG_TN_POWER_GENERATION
31,169,89,31.2,General Fitness,Intermediate,Muscle_Gain,5,5.5,0,4,6,3,7,7,9,PRG_FIT_FAT_LOSS_HIIT
33,181,80,24.4,MMA,Beginner,Endurance,2,1.8,0,5,6,3,3,6,7,PRG_MMA_BEGINNER_BASE
23,182,74,22.3,Swimming,Intermediate,Muscle_Gain,4,4.3,0,9,5,4,6,4,8,PRG_SW_RACE_CONDITIONING
32,172,83,28.1,General Fitness,Beginner,Weight_Loss,2,1.6,0,6,3,5,5,4,7,PRG_FIT_FAT_LOSS_HIIT
23,171,67,22.9,Boxing,Advanced,Muscle_Gain,5,7.3,0,9,7,8,7,9,5,PRG_BOX_KNOCKOUT_POWER
16,201,77,19.1,Basketball,Advanced,Agility,4,8.8,1,9,4,10,8,7,8,PRG_BB_ANKLE_KNEE_PREHAB
25,178,84,26.5,Football,Advanced,Strength,5,7.2,1,7,10,10,4,8,7,PRG_FB_INJURY_PREVENTION
21,180,71,21.9,Boxing,Advanced,Speed,6,7.6,0,7,10,6,6,5,7,PRG_BOX_ELITE_CONDITIONING
20,201,84,20.8,Basketball,Beginner,Agility,3,1.0,0,6,4,9,6,4,7,PRG_BB_ATHLETIC_BASE
20,175,67,21.9,Boxing,Intermediate,Agility,4,3.3,0,6,5,6,3,6,7,PRG_BOX_GENERAL_COMBAT_FITNESS
23,195,82,21.6,Basketball,Intermediate,Endurance,3,3.0,0,8,6,7,5,6,8,PRG_BB_CHANGE_OF_DIRECTION
30,173,74,24.7,Tennis,Advanced,Endurance,4,7.0,0,7,7,5,8,6,5,PRG_TN_COMPETITION_READINESS
21,173,70,23.4,Swimming,Intermediate,Weight_Loss,4,5.3,0,8,2,9,8,9,9,PRG_SW_DRY_LAND_STRENGTH
30,167,54,19.4,Boxing,Advanced,Muscle_Gain,6,6.7,1,10,10,10,7,8,5,PRG_BOX_REHAB_CONDITIONING
20,171,64,21.9,Boxing,Intermediate,Speed,4,3.5,0,8,8,9,2,8,7,PRG_BOX_KNOCKOUT_POWER
